Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,133.520004,133.610001,126.760002,129.410004,128.997803,143301900
2021-01-05,128.889999,131.740005,128.429993,131.009995,130.592697,97664900
2021-01-06,127.720001,131.050003,126.379997,126.599998,126.196747,155088000
2021-01-07,128.360001,131.630005,127.860001,130.919998,130.502991,109578200
2021-01-08,132.429993,132.630005,130.229996,132.050003,131.629379,105158200
2021-01-11,129.190002,130.169998,128.500000,128.979996,128.569168,100384500
2021-01-12,128.500000,129.690002,126.860001,128.800003,128.389740,91951100
2021-01-13,128.759995,131.449997,128.490005,130.889999,130.473083,88636800
2021-01-14,130.800003,131.000000,128.759995,128.910004,128.499405,90221800
2021-01-15,128.779999,130.220001,127.000000,127.139999,126.735023,111598500
2021-01-19,127.779999,128.710007,126.940002,127.830002,127.422829,90757300
2021-01-20,128.660004,132.490005,128.550003,132.029999,131.609451,104319500
2021-01-21,133.800003,139.669998,133.589996,136.869995,136.434021,120150900
2021-01-22,136.279999,139.850006,135.020004,139.070007,138.627029,114459400
2021-01-25,143.070007,145.089996,136.539993,142.919998,142.464767,157611700
2021-01-26,143.600006,144.300003,141.369995,143.160004,142.704010,98390600
2021-01-27,143.429993,144.300003,140.410004,142.059998,141.607513,140843800
2021-01-28,139.520004,141.990005,136.699997,137.089996,136.653336,142621100
2021-01-29,135.830002,136.740005,130.210007,131.960007,131.539673,177523800
2021-02-01,133.750000,135.380005,130.929993,134.139999,133.712723,106239800
2021-02-02,135.729996,136.309998,134.610001,134.990005,134.560028,83305400
2021-02-03,135.759995,135.770004,133.610001,133.940002,133.513382,89880900
2021-02-04,136.300003,137.399994,134.589996,137.389999,136.952377,84183100
2021-02-05,137.350006,137.419998,135.860001,136.759995,136.528091,75693800
2021-02-08,136.029999,136.960007,134.919998,136.910004,136.677841,71297200
2021-02-09,136.619995,137.880005,135.850006,136.009995,135.779358,76774200
2021-02-10,136.479996,136.990005,134.399994,135.389999,135.160416,73046600
2021-02-11,135.899994,136.389999,133.770004,135.130005,134.900864,64280000
2021-02-12,134.350006,135.529999,133.690002,135.369995,135.140442,60145100
2021-02-16,135.490005,136.009995,132.789993,133.190002,132.964157,80576300
2021-02-17,131.250000,132.220001,129.470001,130.839996,130.618134,97918500
2021-02-18,129.199997,130.000000,127.410004,129.710007,129.490051,96856700
2021-02-19,130.240005,130.710007,128.800003,129.869995,129.649780,87668800
2021-02-22,128.009995,129.720001,125.599998,126.000000,125.786346,103916400
2021-02-23,123.760002,126.709999,118.389999,125.860001,125.646584,158273000
2021-02-24,124.940002,125.559998,122.230003,125.349998,125.137444,111039900
2021-02-25,124.680000,126.459999,120.540001,120.989998,120.784836,148199500
2021-02-26,122.589996,124.849998,121.199997,121.260002,121.054382,164560400
2021-03-01,123.750000,127.930000,122.790001,127.790001,127.573311,116307900
2021-03-02,128.410004,128.720001,125.010002,125.120003,124.907837,102260900
2021-03-03,124.809998,125.709999,121.839996,122.059998,121.853020,112966300
2021-03-04,121.750000,123.599998,118.620003,120.129997,119.926292,178155000
2021-03-05,120.980003,121.940002,117.570000,121.419998,121.214104,153766600
2021-03-08,120.930000,121.000000,116.209999,116.360001,116.162689,154376600
2021-03-09,119.029999,122.059998,118.790001,121.089996,120.884666,129525800
2021-03-10,121.690002,122.169998,119.449997,119.980003,119.776558,111943300
2021-03-11,122.540001,123.209999,121.260002,121.959999,121.753189,103026500
2021-03-12,120.400002,121.169998,119.160004,121.029999,120.824768,88105100
2021-03-15,121.410004,124.000000,120.419998,123.989998,123.779747,92403800
2021-03-16,125.699997,127.220001,124.720001,125.570000,125.357071,115227900
2021-03-17,124.050003,125.860001,122.339996,124.760002,124.548447,111932600
2021-03-18,122.879997,123.180000,120.320000,120.529999,120.325615,121229700
2021-03-19,119.900002,121.430000,119.680000,119.989998,119.786530,185549500
2021-03-22,120.330002,123.870003,120.260002,123.389999,123.180771,111912300
2021-03-23,123.330002,124.239998,122.139999,122.540001,122.332214,95467100
2021-03-24,122.820000,122.900002,120.070000,120.089996,119.886360,88530500
2021-03-25,119.540001,121.660004,119.000000,120.589996,120.385513,98844700
2021-03-26,120.349998,121.480003,118.919998,121.209999,121.004463,94071200
2021-03-29,121.650002,122.580002,120.730003,121.389999,121.184158,80819200
