Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,222.529999,223.000000,214.809998,217.690002,216.689423,37130100
2021-01-05,217.259995,218.520004,215.699997,217.899994,216.898438,23823000
2021-01-06,212.169998,216.490005,211.940002,212.250000,211.274414,35930700
2021-01-07,214.039993,219.339996,213.710007,218.289993,217.286652,27694500
2021-01-08,218.679993,220.580002,217.029999,219.619995,218.610550,22956200
2021-01-11,218.470001,218.910004,216.729996,217.490005,216.490341,23031300
2021-01-12,216.500000,217.100006,213.320007,214.929993,213.942093,23249300
2021-01-13,214.020004,216.759995,213.929993,216.339996,215.345627,20087100
2021-01-14,215.910004,217.460007,212.740005,213.020004,212.040878,29480800
2021-01-15,213.520004,214.509995,212.029999,212.649994,211.672577,31746500
2021-01-19,213.750000,216.979996,212.630005,216.440002,215.445175,30480900
2021-01-20,217.699997,225.789993,217.289993,224.339996,223.308853,37777300
2021-01-21,224.699997,226.300003,222.419998,224.970001,223.935959,30709400
2021-01-22,227.080002,230.070007,225.800003,225.949997,224.911453,30172700
2021-01-25,229.119995,229.779999,224.220001,229.529999,228.474991,33152100
2021-01-26,231.860001,234.179993,230.080002,232.330002,231.262131,49169600
2021-01-27,238.000000,240.440002,230.139999,232.899994,231.829514,69870600
2021-01-28,235.610001,242.639999,235.089996,238.929993,237.831787,49111200
2021-01-29,235.990005,238.020004,231.350006,231.960007,230.893845,42503100
2021-02-01,235.059998,242.500000,232.429993,239.649994,238.548477,33314200
2021-02-02,241.300003,242.309998,238.690002,239.509995,238.409119,25916300
2021-02-03,239.570007,245.089996,239.259995,243.000000,241.883087,27158100
2021-02-04,242.660004,243.240005,240.369995,242.009995,240.897629,25296100
2021-02-05,242.229996,243.279999,240.419998,242.199997,241.086761,18054800
2021-02-08,243.149994,243.679993,240.809998,242.470001,241.355530,22211900
2021-02-09,241.869995,244.759995,241.380005,243.770004,242.649536,23565000
2021-02-10,245.000000,245.919998,240.889999,242.820007,241.703918,22186700
2021-02-11,244.779999,245.149994,242.149994,244.490005,243.366241,15751100
2021-02-12,243.929993,245.300003,242.729996,244.990005,243.863937,16561100
2021-02-16,245.029999,246.130005,242.919998,243.699997,242.579865,26728500
2021-02-17,241.320007,244.309998,240.940002,244.199997,243.637421,21653500
2021-02-18,241.800003,243.929993,240.860001,243.789993,243.228348,16925600
2021-02-19,243.750000,243.860001,240.179993,240.970001,240.414856,25262600
2021-02-22,237.419998,237.929993,232.399994,234.509995,233.969742,36446900
2021-02-23,230.330002,234.830002,228.729996,233.270004,232.732605,30228700
2021-02-24,230.009995,235.199997,229.000000,234.550003,234.009659,26339700
2021-02-25,232.080002,234.589996,227.880005,228.990005,228.462463,39542200
2021-02-26,231.529999,235.369995,229.539993,232.380005,231.844650,37819200
2021-03-01,235.899994,237.470001,233.149994,236.940002,236.394150,25324000
2021-03-02,237.009995,237.300003,233.449997,233.869995,233.331207,22812500
2021-03-03,232.160004,233.580002,227.259995,227.559998,227.035751,34029500
2021-03-04,226.740005,232.490005,224.259995,226.729996,226.207657,44727800
2021-03-05,229.520004,233.270004,226.460007,231.600006,231.066452,41872800
2021-03-08,231.369995,233.369995,227.130005,227.389999,226.866150,35267400
2021-03-09,232.880005,235.380005,231.669998,233.779999,233.241425,33080500
2021-03-10,237.000000,237.000000,232.039993,232.419998,231.884552,29746800
2021-03-11,234.960007,239.169998,234.309998,237.130005,236.583710,29907600
2021-03-12,234.009995,235.820007,233.229996,235.750000,235.206879,22653700
2021-03-15,234.960007,235.190002,231.809998,234.809998,234.269043,26034900
2021-03-16,236.279999,240.059998,235.940002,237.710007,237.162369,28092200
2021-03-17,236.149994,238.550003,233.229996,237.039993,236.493912,29562100
2021-03-18,232.559998,234.190002,230.330002,230.720001,230.188477,34833000
2021-03-19,231.020004,232.470001,229.350006,230.350006,229.819336,46430700
2021-03-22,230.270004,236.899994,230.139999,235.990005,235.446335,30127000
2021-03-23,237.490005,241.050003,237.070007,237.580002,237.032669,31638400
2021-03-24,237.850006,238.000000,235.320007,235.460007,234.917557,25620100
2021-03-25,235.300003,236.940002,231.570007,232.339996,231.804733,34061900
2021-03-26,231.550003,236.710007,231.550003,236.479996,235.935196,25479900
